sample_id,correct_control,correct_candidate,experiment,transition
train_0062,True,True,Z-F8,unchanged
train_0063,True,True,Z-F8,unchanged
train_0070,True,True,Z-F8,unchanged
train_0071,True,False,Z-F8,right_to_wrong
train_0078,True,True,Z-F8,unchanged
train_0079,True,True,Z-F8,unchanged
train_0088,False,True,Z-F8,wrong_to_right
train_0089,False,False,Z-F8,unchanged
train_0092,True,True,Z-F8,unchanged
train_0093,False,False,Z-F8,unchanged
train_0098,True,True,Z-F8,unchanged
train_0099,False,False,Z-F8,unchanged
train_0104,False,True,Z-F8,wrong_to_right
train_0105,False,True,Z-F8,wrong_to_right
train_0106,True,False,Z-F8,right_to_wrong
train_0107,True,True,Z-F8,unchanged
train_0115,False,False,Z-F8,unchanged
train_0116,True,True,Z-F8,unchanged
train_0117,True,True,Z-F8,unchanged
train_0118,True,True,Z-F8,unchanged
train_0119,True,True,Z-F8,unchanged
train_0120,True,False,Z-F8,right_to_wrong
train_0121,True,True,Z-F8,unchanged
train_0134,False,True,Z-F8,wrong_to_right
train_0135,True,True,Z-F8,unchanged
train_0136,False,False,Z-F8,unchanged
train_0137,True,True,Z-F8,unchanged
train_0138,False,False,Z-F8,unchanged
train_0141,True,True,Z-F8,unchanged
train_0142,True,True,Z-F8,unchanged
train_0157,False,False,Z-F8,unchanged
train_0158,False,False,Z-F8,unchanged
train_0159,False,False,Z-F8,unchanged
train_0162,False,False,Z-F8,unchanged
train_0163,True,True,Z-F8,unchanged
train_0164,False,True,Z-F8,wrong_to_right
train_0166,False,False,Z-F8,unchanged
train_0167,False,False,Z-F8,unchanged
train_0168,True,True,Z-F8,unchanged
train_0182,True,False,Z-F8,right_to_wrong
train_0183,False,False,Z-F8,unchanged
train_0184,False,True,Z-F8,wrong_to_right
train_0185,False,True,Z-F8,wrong_to_right
train_0186,True,True,Z-F8,unchanged
train_0191,False,False,Z-F8,unchanged
train_0192,True,True,Z-F8,unchanged
train_0193,True,True,Z-F8,unchanged
train_0199,False,False,Z-F8,unchanged
train_0200,True,True,Z-F8,unchanged
train_0228,True,True,Z-F8,unchanged
train_0229,False,False,Z-F8,unchanged
train_0236,False,False,Z-F8,unchanged
train_0237,False,True,Z-F8,wrong_to_right
train_0240,False,True,Z-F8,wrong_to_right
train_0241,True,True,Z-F8,unchanged
train_0246,False,False,Z-F8,unchanged
train_0247,True,True,Z-F8,unchanged
train_0268,True,True,Z-F8,unchanged
train_0269,False,False,Z-F8,unchanged
train_0272,False,False,Z-F8,unchanged
train_0273,True,True,Z-F8,unchanged
train_0274,False,False,Z-F8,unchanged
train_0275,False,False,Z-F8,unchanged
train_0276,False,False,Z-F8,unchanged
train_0277,True,True,Z-F8,unchanged
train_0278,True,True,Z-F8,unchanged
train_0279,False,False,Z-F8,unchanged
train_0280,True,True,Z-F8,unchanged
train_0288,True,True,Z-F8,unchanged
train_0289,False,True,Z-F8,wrong_to_right
train_0290,False,True,Z-F8,wrong_to_right
train_0318,True,True,Z-F8,unchanged
train_0319,True,True,Z-F8,unchanged
train_0357,False,False,Z-F8,unchanged
train_0358,False,False,Z-F8,unchanged
train_0359,False,False,Z-F8,unchanged
train_0364,False,False,Z-F8,unchanged
train_0365,False,False,Z-F8,unchanged
train_0371,False,False,Z-F8,unchanged
train_0372,False,False,Z-F8,unchanged
train_0373,True,True,Z-F8,unchanged
train_0374,False,False,Z-F8,unchanged
train_0378,False,False,Z-F8,unchanged
train_0379,False,False,Z-F8,unchanged
train_0380,True,False,Z-F8,right_to_wrong
train_0381,False,False,Z-F8,unchanged
